epoch: 0	train ppl: 367.2901831282771	val ppl: 193.6539281383284	best val: 193.6539281383284	time (s) spent in epoch: 54.71527147293091
epoch: 1	train ppl: 146.59456553716277	val ppl: 146.3893905061105	best val: 146.3893905061105	time (s) spent in epoch: 54.783056020736694
epoch: 2	train ppl: 99.66218858839471	val ppl: 131.04481870826743	best val: 131.04481870826743	time (s) spent in epoch: 54.90353798866272
epoch: 3	train ppl: 74.6422151005333	val ppl: 127.6234319289641	best val: 127.6234319289641	time (s) spent in epoch: 54.90433597564697
epoch: 4	train ppl: 58.325282146594766	val ppl: 129.89578152221043	best val: 127.6234319289641	time (s) spent in epoch: 54.91372275352478
epoch: 5	train ppl: 46.68288679680279	val ppl: 136.77675493914978	best val: 127.6234319289641	time (s) spent in epoch: 54.946744441986084
epoch: 6	train ppl: 37.985506508999045	val ppl: 147.2463542824088	best val: 127.6234319289641	time (s) spent in epoch: 54.92854118347168
epoch: 7	train ppl: 31.268344897223404	val ppl: 160.89416679033027	best val: 127.6234319289641	time (s) spent in epoch: 54.89632201194763
epoch: 8	train ppl: 26.016681879380798	val ppl: 180.65229317162022	best val: 127.6234319289641	time (s) spent in epoch: 54.928582429885864
epoch: 9	train ppl: 21.85919602188266	val ppl: 203.33808349717347	best val: 127.6234319289641	time (s) spent in epoch: 54.91328430175781
epoch: 10	train ppl: 18.622125357204652	val ppl: 226.2884758175221	best val: 127.6234319289641	time (s) spent in epoch: 54.91477298736572
epoch: 11	train ppl: 16.053060583706767	val ppl: 255.97602583636953	best val: 127.6234319289641	time (s) spent in epoch: 54.91112971305847
epoch: 12	train ppl: 13.942048911606266	val ppl: 286.02844754987944	best val: 127.6234319289641	time (s) spent in epoch: 54.88766884803772
epoch: 13	train ppl: 12.24173587282605	val ppl: 322.7246555221579	best val: 127.6234319289641	time (s) spent in epoch: 54.90466046333313
epoch: 14	train ppl: 10.890476162684724	val ppl: 364.7815233854589	best val: 127.6234319289641	time (s) spent in epoch: 54.92749094963074
epoch: 15	train ppl: 9.755141301620643	val ppl: 413.3406553109895	best val: 127.6234319289641	time (s) spent in epoch: 54.86353921890259
epoch: 16	train ppl: 8.819408800838884	val ppl: 471.866037991568	best val: 127.6234319289641	time (s) spent in epoch: 54.83032464981079
epoch: 17	train ppl: 8.049685123325936	val ppl: 534.1793044906724	best val: 127.6234319289641	time (s) spent in epoch: 54.46826434135437
epoch: 18	train ppl: 7.392906790782557	val ppl: 600.6227541557463	best val: 127.6234319289641	time (s) spent in epoch: 54.355533838272095
epoch: 19	train ppl: 6.83209051469411	val ppl: 675.2744661782291	best val: 127.6234319289641	time (s) spent in epoch: 54.34791874885559
epoch: 20	train ppl: 6.366442505914107	val ppl: 740.0770283724593	best val: 127.6234319289641	time (s) spent in epoch: 54.31322908401489
epoch: 21	train ppl: 5.961345711135972	val ppl: 823.5099984764474	best val: 127.6234319289641	time (s) spent in epoch: 54.251710414886475
epoch: 22	train ppl: 5.604452502641753	val ppl: 900.2177272064622	best val: 127.6234319289641	time (s) spent in epoch: 54.2863187789917
epoch: 23	train ppl: 5.292161104361853	val ppl: 995.8953458158275	best val: 127.6234319289641	time (s) spent in epoch: 54.320114612579346
epoch: 24	train ppl: 5.023474462559583	val ppl: 1107.1173098611794	best val: 127.6234319289641	time (s) spent in epoch: 54.338531255722046
epoch: 25	train ppl: 4.7848412322359275	val ppl: 1225.3285222411546	best val: 127.6234319289641	time (s) spent in epoch: 54.310667991638184
epoch: 26	train ppl: 4.582251162143528	val ppl: 1340.1554987192508	best val: 127.6234319289641	time (s) spent in epoch: 54.28029179573059
epoch: 27	train ppl: 4.381092969999293	val ppl: 1478.3886911047712	best val: 127.6234319289641	time (s) spent in epoch: 54.23247456550598
epoch: 28	train ppl: 4.2250747739351695	val ppl: 1592.6976648917637	best val: 127.6234319289641	time (s) spent in epoch: 54.12310981750488
epoch: 29	train ppl: 4.065885582648411	val ppl: 1708.0723753964512	best val: 127.6234319289641	time (s) spent in epoch: 54.228102922439575
epoch: 30	train ppl: 3.9289407819130817	val ppl: 1856.2938704162325	best val: 127.6234319289641	time (s) spent in epoch: 54.19891333580017
epoch: 31	train ppl: 3.8020835811029983	val ppl: 2009.7686189076505	best val: 127.6234319289641	time (s) spent in epoch: 54.14862585067749
epoch: 32	train ppl: 3.7049128285296136	val ppl: 2146.8925321664015	best val: 127.6234319289641	time (s) spent in epoch: 54.237122774124146
epoch: 33	train ppl: 3.5848010301291513	val ppl: 2329.5837446780806	best val: 127.6234319289641	time (s) spent in epoch: 54.15783619880676
epoch: 34	train ppl: 3.498901274484338	val ppl: 2512.73221154482	best val: 127.6234319289641	time (s) spent in epoch: 54.075740575790405
epoch: 35	train ppl: 3.409372983755258	val ppl: 2757.80282427866	best val: 127.6234319289641	time (s) spent in epoch: 54.07633996009827
epoch: 36	train ppl: 3.3336304562116443	val ppl: 2919.0030313527304	best val: 127.6234319289641	time (s) spent in epoch: 54.158684968948364
epoch: 37	train ppl: 3.260324685813218	val ppl: 3082.4728868101392	best val: 127.6234319289641	time (s) spent in epoch: 54.11507606506348
epoch: 38	train ppl: 3.189447192635944	val ppl: 3362.9484116680346	best val: 127.6234319289641	time (s) spent in epoch: 54.16984534263611
epoch: 39	train ppl: 3.1255441512325377	val ppl: 3488.904155641091	best val: 127.6234319289641	time (s) spent in epoch: 54.10307836532593
